firstName,middleName,lastName,socialSecurityNumber,dateOfBirth,postalAddress,phoneNumber,hireDate
Major,Dovie,Grengs,495425505,April 1 1972,1810 Eagle Lake Road SEALY Texas 22263,977281538,May 19 2002
Delena,Chastity,Lepine,222398208,November 27 1966,110 Winding Creek Court SEALY Texas 45279,771717596,August 14 1985
Pearly,Kaci,Blechinger,649632192,February 1 1953,   Texas 29133,745076541,June 24 2006
Lucile,Jude,Longstaff,782954769,November 5 1997,4041 Ullrich Road FAYETTEVILLE Texas 13267,778692883,September 7 2015
Janine,Adelle,Wilczewski,377037885,January 10 1977,922 Garland Lane SEALY Texas 86260,571231424,July 21 2006
Tierra,Palmira,Krofft,284510815,September 30 1965,123 2nd Street WALLIS Texas 82420,483411064,November 29 1990
Roy,Debi,Satterwhite,905576461,August 12 1977,8568 Hillboldt Road CAT SPRING Texas 15515,658136165,April 27 1992
Jean,Bronwyn,Noblet,289146438,April 19 1973,1998 Fm 949 SEALY Texas 46734,462528965,April 19 2000
Myrl,Wilbur,Trosen,782667183,June 2 1976,0 West Ueckert Road (Off Of) BELLVILLE Texas 13832,446326350,November 24 2010
Tomika,Velva,Kuzmish,597895740,October 1 1960,0 Garlin Road  Texas 11746,426681638,June 19 2012
Earlie,Tyler,Augusto,386016269,April 26 1988,0 Milton Road (Off Of) SEALY Texas 98841,323482019,December 1 2008
Venessa,Giuseppe,Koone,245711638,August 17 1950,4410 Star Hill Road NEW ULM Texas 44259,137106376,April 2 2016
Cecily,Leann,Seth,679965912,October 31 1977,0 Fm 109  Texas 68961,467247597,September 7 2006
Viviana,Gayla,Sandridge,357322280,October 5 1979,0 Meteor Drive   Texas 35653,467011291,April 27 1998
Kristian,Jewell,Mather,287275466,April 13 1966,105 Lost Lane BELLVILLE Texas 25277,821886586,September 26 2000
Laureen,Juliette,Corvelli,764633145,April 30 1984,0 Dittmer Road (Colorado Co)  Texas 93097,758336867,March 25 2014
Delila,Winford,Space,474626246,May 17 1995,7891 Hoppe Sister Road  Texas 84600,226348071,October 9 1998
Taunya,Patti,Grano,485349234,January 31 1986,0 Highway 90 West SEALY Texas 39825,541568588,February 10 1987
Nakisha,Lorina,Grismore,547339785,September 25 1984,802 South Holland Street BELLVILLE Texas 85951,384836013,January 16 1985
Darius,Wei,Ahearn,534455804,August 17 1971,5859 Hickory Bend Lane BELLVILLE Texas 24122,730169345,September 7 2005
Brittaney,Marcelo,Reginaldo,697701535,December 8 1989,6722 Church Street WALLIS Texas 64932,920066536,April 12 2010
Sau,Ruben,Brien,707857148,April 2 1995,2731 Orange Hill Road SEALY Texas 93029,912728563,April 14 2010
Marion,Shin,Pynes,670733822,June 28 1967,   Texas 31446,142138750,May 10 2008
Noelle,Sharron,Sommons,262021992,January 9 1968,540 South Front Street BELLVILLE Texas 54473,796737291,October 9 2012
Charmain,Lekisha,Catone,481050507,July 12 1971,600 Andrews Street SEALY Texas 99246,743834637,December 22 2013
