firstName,middleName,lastName,socialSecurityNumber,dob,street,city,state,zip,hireDate,phoneNumber,contactName,relation,emergencyPhoneNumber
Marilee,Scotty,Cavezon,829358713,June 23 1962, ,LA VERKIN,UT,84745,July 27 1996,577781799,Maximo Holstine,extended family,237182173
Nerissa,Karmen,Mcpheeters,450881716,March 17 1993,1450 Bell Oaks Drive,NORTH CITY,WA,98155,December 31 1996,158871553,Ellan Kura,other,665785936
Fredia,Sharilyn,Speith,846553591,April 14 1981,0 Northeast I-10 Frontage Road,UNIVERSITY OF HAWAII,HI,96844,September 3 2014,945351875,Jeana Parga,extended family,336833968
Emilio,Madeline,Jewels,685277409,April 29 1981,0 East Main Street,VICTORY GARDENS,NJ,7801,January 24 2002,977509096,Sherlyn Lepisto,extended family,898254794
Donna,Lucien,Spiece,646583206,March 15 1975,869 Witte Road,GUILD,TN,37340,March 10 1998,945821376,Penni Tarka,extended family,610414901
Francine,Eusebia,Happ,185029491,November 23 1964,0 Palm Road (Off Of),GRAY,KY,40734,January 20 2006,368288821,Estrella Bridgford,friend,550852503
Elidia,Mireille,Oxner,587775835,December 7 1951, ,SANTA RITA,GU,96915,June 19 1993,458877308,Amanda Fahlstedt,parent,214263669
Cliff,Jenee,Alegar,504299514,August 24 1956,0 Sealy Road,BLYTHEDALE,MO,64426,April 26 2005,300600541,Synthia Noblin,child,103854418
Georgann,Mabelle,Hernandes,697565011,February 14 1960,0 Koehn Road,GREENTOP,MO,63546,May 21 2000,503262258,Scotty Crumbliss,child,664395684
Mia,Ela,Albro,306800518,September 24 1957,11367 Hahn Road,MAYFIELD,ID,83716,May 15 2000,925624442,Martine Yarrow,other,794002805
Benita,Su,Penanegra,278987007,May 31 1977,6342 Glory Road,DALLAS,TX,75386,April 28 2005,839794105,Tyson Pannenbacker,child,562771876
Roosevelt,Clifford,Kieger,233349134,June 4 1991,10887 Fm 1952,ENGLAND,AR,72046,July 13 1992,756491410,Ronni Heacock,parent,244942271
Ailene,Naoma,Bombardier,247388087,January 27 1966,0 Marek Road,QUINCY,MA,2269,February 27 1989,879771549,Barrie Brinegar,sibling,688416252
Roxie,Micah,Theaker,559670637,August 1 1955,26797 Thyme Lane,NORTH WATERFORD,ME,4267,September 20 2014,994920487,Lyndsey Berteotti,extended family,566237180
Alayna,Jamie,Asselmeier,986337527,November 25 1979,0 Clens Road,PORTLAND,IA,50401,December 4 1994,223881759,Shea Stradtner,extended family,143738208
Winifred,Lashell,Newton,142489890,January 18 1986,1597 Yaupon Road,CHESAW,WA,98844,December 17 1987,611577285,Myrtie Shetter,extended family,904690422
Angela,Ona,Seniff,349528480,February 5 1961,0 Harry Street,IVYLAND,PA,18974,June 11 2003,555671836,Robbie Deale,child,734582379
Isobel,Violeta,Harvat,398695913,October 8 1968,1779 Meissner Road,GU ACHI,AZ,85634,March 29 2000,389037276,Sigrid Crater,other,293932339
Karrie,Stewart,Dilligard,499693343,July 12 1996,128 Machala Road,POWERS,IN,47371,March 21 1997,425134835,Marcel Dvorak,sibling,103668334
Tynisha,Scarlet,Melton,979770313,July 28 1985,3765 Lazy River Drive,MTGY,AL,36121,November 14 2015,415314514,Vernie Billick,friend,492424268
Tyree,Rosemary,Cawein,129251177,September 22 1958, ,CAPITOL CITIES,NY,10082,March 18 2010,745762072,Frankie Wohner,child,710589320
Catalina,Julian,Deponte,182053671,July 4 1970,0 Saha Road,BROOKLYN,NY,11254,November 10 1998,107290291,Georgie Brousard,friend,151612756
Julee,Lizabeth,Kalar,299469931,May 20 1956,0 Kersten Road,ODEBOLT,IA,51458,June 29 1988,979733505,Cherryl Whitehead,friend,410244397
Berenice,Dean,Colli,261556716,November 5 1960,112 Lee Lane,BURDINE,KY,41517,February 17 2007,817850571,Ora Fant,parent,326404792
Delaine,Meridith,Costanzi,125225693,August 24 1984,0 Franke Road,CHARLESTON,MS,38921,June 24 1996,636402151,Tiffiny Coxon,extended family,276752674
Jose,Neva,Jespersen,312112945,January 27 1950,0 Buechmann Road,MASONTOWN,PA,15461,February 10 2007,469852780,Phillis Fritchley,other,951771580
Kenia,Blaine,Cristy,916778941,January 17 1995,0 Fm 1458,MILLS RIVER,NC,28759,August 2 1993,667958742,Dorathy Suvada,extended family,126247473
Shayla,Isaac,Guo,278360534,August 11 1985,0 Fm 529,MC GRADY,NC,28649,November 22 1994,281867022,Georgianne Muther,friend,420433358
Shanel,Latonia,Lodato,325100016,June 2 1952,0 Kamas Road (Off Of),MANHATTAN,NY,10121,March 16 2005,920657553,Tisha Phariss,extended family,932618636
Rozella,Tanya,Mapa,344415611,April 24 1992, ,BRIMSTONE CORNERS,VT,5761,September 25 2007,133588944,Coreen Daylong,other,126464410
Jeffry,Dia,Delbo,665839358,December 4 1997,228 East Obryant Street,FOSTORIA,IA,51340,February 9 1996,521202470,Zoila Wayson,parent,301841952
Shana,Marlys,Froehle,797676678,November 26 1987,1735 Old Nelsonville Road,PENNVILLE,PA,17331,May 25 2011,127450820,Jovan Luehrs,spouse,993465963
Zita,January,Holts,672665648,June 27 1961,930 Mixville Road,INDIAHOMA,OK,73552,June 11 1998,725227128,Jaymie Loconte,child,568028754
Maybelle,Barabara,Gretsch,670936982,May 9 1977,0 Coody Lane (Off Of),WALNUT GROVE,CA,95690,May 28 2006,262751892,Sanjuanita Mielsch,sibling,699794138
Racquel,Bebe,Karroach,342937194,September 11 1960, ,PEACOCK,MI,49644,August 1 1990,181086104,Armida Babbitt,spouse,416200737
Harlan,Ann,Ohlson,419273369,January 25 1973,218 Willow,MEMPHIS,TN,38122,September 5 2016,461015970,Antoine Artuso,parent,199255002
Homer,Huong,Anakalea,438018102,April 6 1963, ,U S BANK,WI,53259,June 8 2008,118676881,Norbert Isaacson,other,689939551
Stephania,Reatha,Herget,268858217,July 5 1950,2352 Main Street,MONROEVILLE,NJ,8343,July 19 1985,188625775,Kaila Gauld,sibling,726674320
