firstName,middleName,lastName,socialSecurityNumber,dob,street,city,state,zip,hireDate,phoneNumber,contactName,relation,emergencyPhoneNumber
Yan,Amee,Nakamori,166685360,July 27 1996,610 South Charles,DURANGO,CO,81301,August 15 1996,851996555,Christian Andress,friend,941136139
Klara,Aldo,Tumlinson,752070453,May 6 1952,0 Krueger Road,SCRANTON,PA,18518,October 13 2004,878154981,Milan Ailor,friend,737643485
Marni,Felica,Closson,532440437,October 14 1959,10619 Hoff Road,IRON GATE,VA,24448,September 6 2000,781043388,Jone Kalisek,sibling,461066278
Victor,Eleanor,Velarde,258933939,June 15 1983,0 River Bend Drive,MONROEVILLE,OH,44847,December 30 2008,255861314,Annalee Zrake,other,647044155
Libbie,Danica,Markowski,711891172,November 27 1993,380 Quail Bend,BROOKVILLE,IN,47012,June 30 2013,247270788,Orpha Tyger,friend,973922574
Basilia,Jeanine,Colonel,452021709,January 3 1989,2884 Harrison Road,CAL NEV ARI,NV,89039,February 9 2013,152538796,Dorothea Marucci,friend,684576921
Cori,Natosha,Keemer,552616614,September 30 1962,0 Lake Road,MARION,WI,54950,August 1 1999,725554684,Dick Glaser,parent,863472959
Lucina,Molly,Josilowsky,744286623,June 5 1962,4645 Glaeser Road,HALES CORNERS,WI,53132,December 17 1987,407202721,Winfred Nocek,spouse,879458239
Erika,Charles,Cradle,953987408,November 18 1969,3598 Star Hill Road,CHITTENDEN,VT,5737,September 18 2006,821117972,Dann Rix,parent,678571288
Nestor,Sari,Pathak,775673872,May 9 1955,2519 Chew Road,PETROLEUM,IN,46778,June 22 1987,646267394,Anna Cantadore,sibling,960338961
Donovan,Jenna,Mullet,223301210,June 10 1966,1496 Bell Oaks Drive,PAOLI,PA,19301,August 21 2014,794788352,Sharyl Clunes,parent,307580018
Denis,Darren,Goldizen,937603374,August 5 1982,2761 Mixville Road,SUN CITY,AZ,85373,August 20 2002,520481188,Georgeanna Tassone,parent,539632616
Jimmie,Tonia,Charters,854331448,May 28 1971,0 Mlcak Road,OLD RVR-WNFRE,TX,77535,October 18 1998,916789953,Sung Albriton,friend,686135680
Kendall,Florentino,Bis,359142506,August 7 1961,938 South Masonic Street,PROSPECT PARK,PA,19076,November 13 2016,168900375,Etsuko Mertins,extended family,137962651
Rosana,Brittni,Pleshe,898769213,February 8 1960,0 Highway 159 West,SOUTH MIAMI,FL,33155,April 8 2001,327604490,Aron Cominsky,spouse,878565703
Noel,Walker,Kutella,781834302,October 6 1961, ,BARNEY,IA,50149,January 26 2009,621431321,Chan Kapperman,extended family,839127466
Kayleen,Donny,Stemp,515850197,June 13 1959, ,HIGHGATE CENTER,VT,5459,July 26 1989,858651460,Concha Rocker,extended family,976544305
Gena,Nikia,Weingart,837403823,December 1 1966, ,EAST ROXBURY,VT,5060,May 30 2007,893418972,Charmaine Branch,extended family,339631605
Lynda,Thomas,Bakowski,808369800,August 12 1959,1221 Columbus Road,LAKEVIEW TERRACE,CA,91331,November 8 1990,824560871,Irwin Vicari,parent,399593065
Madalyn,Bailey,Hohl,553986884,May 18 1981,12127 Highway 36,HUNTER,UT,84120,April 3 2006,264284061,Cortney Reigh,friend,244049836
Nina,Shala,Schader,916038940,September 11 1995,625 Westview Terrace Circle,CHESTER,MA,1011,February 25 2000,525161473,Dewayne Unterzuber,friend,358931337
Kermit,Lyndon,Gomes,561192799,April 21 1956,9598 Northwest I-10 Frontage Road,OVERPECK,OH,45055,May 5 1999,670924727,Elna Caudle,other,952515308
Adella,Eileen,Gislason,357395377,March 30 1957, ,BRONX,NY,10462,January 26 1999,794944626,Taisha Tibwell,friend,430546880
