Carmon,Telma,Koschnitzki,735921241,September 26 1964
Ezra,Teri,Brozena,349100954,June 1 1972
Gaylord,Rosario,Blauman,850276110,February 28 1969
Graig,Bret,Badertscher,270777113,April 12 1990
So,Aida,Fenchel,788016788,April 11 1968
Jackeline,Ricki,Schoelman,297140323,March 14 1996
Jeff,Jamel,Taha,490778517,January 9 1992
Bridgette,Leonie,Illovsky,710129179,September 3 1962
Dominga,Joanie,Darwish,762148147,December 20 1952
Sharyn,Farah,Ruscetti,450021094,October 1 1971
Teressa,Malcolm,Earney,456496962,September 28 1993
Tamekia,Darrell,Buehner,789354215,February 16 1951
Camila,Jimmy,Troll,240934790,November 1 1958
Judy,Carolina,Zapel,951884994,October 14 1990
Mahalia,Victorina,Greenidge,347769928,October 5 1983
Mozella,Shavonda,Crandall,996027509,October 26 1966
Harold,Greta,Tag,143052653,February 20 1970
Lou,Traci,Rohleder,656377665,June 13 1973
Nichol,Ginger,Nagler,524092711,August 20 1992
Ivan,Hedy,Rogas,554703767,October 25 1978
Daniel,Marion,Lapari,577324124,January 1 1966
Matt,Madelene,Stander,204454529,September 25 1993
Lovella,Alleen,Mccarroll,509283779,August 19 1950
Rivka,Dakota,Boehler,683853835,November 18 1954
Mark,Stefany,Kindred,944196160,March 2 1984
Deandra,Benita,Bible,302662665,September 21 1964
Shay,Gita,Heaslip,927832856,June 24 1953
Marcy,Lucinda,Sarette,139524518,September 4 1980
Tyisha,Junior,Varrelman,509737832,September 6 1992
Rima,Millie,Foertsch,850491350,August 1 1956
Latarsha,Flo,Bothof,295071858,April 30 1964
Nena,Ulrike,Melusky,407058660,October 8 1960
Val,Hellen,Pankhurst,768401717,July 24 1955
Coleman,Benedict,Nono,593216935,April 1 1970
Luella,Samual,Jenner,129610521,September 10 1950
Hong,Gennie,App,697232407,February 21 1958
Travis,Justa,Loque,136282095,June 30 1992
Mac,Alexander,Rigerman,763873897,January 26 1991
Zita,Alec,Phinney,986653843,August 9 1957
Yael,Marquitta,Branden,707560964,June 11 1954
Jimmy,Hilton,Buschman,876465794,February 11 1994
Cher,Toccara,Guidaboni,924566337,October 28 1977
Leon,Kathrine,Shufelt,625370406,June 30 1962
Lynetta,Angla,Shinsky,623293593,March 9 1972
Roseanna,Lekisha,Jungels,652310161,April 11 1981
Andera,Lashay,Koegler,323291567,January 12 1984
Simona,Dusty,Irani,922404910,July 26 1989
Leslee,Lavina,Wilbourne,155763490,December 30 1952
Mavis,Clayton,Daoud,333095922,September 26 1961
Lorette,Aisha,Kostohryz,747778493,June 22 1997
Lavada,Dennise,Taillon,426930435,July 7 1967
Chang,Olen,Kimel,248277336,November 22 1990
Shemika,Kaley,Kiedrowski,639490434,June 27 1986
Una,Russell,Seigworth,182551540,June 25 1984
Kathryne,Jeni,Chirinos,820310762,February 20 1958
Javier,Olimpia,Ohlmann,621623882,July 10 1986
Carmen,Alaina,Littleton,713621055,July 14 1974
Amira,Rowena,Gibala,259512355,March 29 1970
Despina,Thurman,Vilanova,795494261,December 28 1956
Dusty,Gabriel,Proue,482550889,March 5 1965
Stefan,Merna,Uballe,530295715,May 25 1993
Rayna,Eliz,Robbert,335788784,February 1 1973
Ignacia,Blythe,Streitenberge,607686729,January 22 1976
Adalberto,Eve,Prestwich,779203570,September 14 1954
Britt,Florida,Boitel,232021527,November 30 1950
Chi,Lenore,Dine,635432179,February 18 1971
Myra,Edwin,Georgales,368651108,July 25 1987
Wilhemina,Mac,Sary,457537948,May 31 1996
Bessie,Joseph,Brohawn,970960606,March 24 1952
Joana,Yolonda,Nannie,853751983,October 6 1993
Jennette,Summer,Caracso,762157774,May 25 1960
Gregorio,Chana,Mulqueen,552116435,March 18 1975
Rozanne,Josh,Duchane,475825297,October 5 1974
Larraine,Graham,Bodnar,244657808,November 12 1976
Dorie,Jordon,Siddon,947660234,December 17 1974
Shalanda,Takako,Goolman,333462868,July 13 1963
Janna,Robt,Felmet,830953498,April 12 1957
Jackelyn,Twyla,Rhein,392336405,December 16 1983
Larae,Tiera,Paisley,693196393,January 1 1964
Charles,Wenona,Schlicht,732298854,June 3 1988
Buster,Russell,Dewulf,558417785,February 4 1988
