firstName,middleName,lastName,socialSecurityNumber,dob,street,city,state,zip,hireDate,phoneNumber,contactName,relation,emergencyPhoneNumber
Marshall,Candi,Stoffer,101158073,January 28 1971,891 High Oaks Drive,PLEASANT VIEW,UT,84404,December 11 2016,669364695,Ok Wallravin,child,153740539
Bree,Lida,Droggitis,544520268,December 9 1996,0 Highway 159 West,PEMBROKE PNES,FL,33082,June 4 2011,101990811,Dedra Dodgson,sibling,253986903
Santos,Brenda,Steinkuehler,979369593,July 7 1965,1783 Bravenec Lane,PT ANGELES,WA,98362,July 30 2011,815107492,Heike Enck,other,191606207
Tad,Erlinda,Guyton,668667559,November 21 1954,0 Shunka Road @ Red Bird Road,GPT,MS,39502,May 15 1995,471014855,Morris Forschner,sibling,407984203
Genesis,David,Capetl,407867495,January 6 1960,0 West Ueckert Road,SO AMHERST,OH,44001,March 10 1992,851267062,Maren Freme,spouse,289896769
Lonnie,Karrie,Rizas,480320152,December 21 1977, ,ITHACA,NY,14853,May 15 2013,978614221,Illa Gislason,parent,616585213
Carole,Virgil,Mahood,153940773,August 20 1980,914 South Masonic Street,BROCKWAY,CA,96143,September 9 1987,975497942,Kellee Burzynski,friend,848669072
Ricardo,Shaun,Kahookele,559132865,February 17 1964,1900 Lezak Road,WOODWORTH,LA,71485,May 8 2010,555499072,Ena Applewhaite,parent,283859816
Annett,Harold,Parkinson,166610028,October 18 1973,228 Rosalie Lane,WATERFORD,VA,20197,April 9 1994,893622061,Marci Hershkop,sibling,412647142
Peg,Kaley,Mittman,443802275,February 25 1984,0 Wiecker Road,RIVERDALE,ND,58565,May 16 1992,927299482,Nikole Leath,child,441780104
Alex,Winnifred,Marquette,950934016,November 24 1953, ,CO SPGS,CO,80927,September 25 1985,446744586,Tim Tomski,extended family,741214633
Ellen,Maxie,Dotolo,249494493,January 29 1984, ,BROADALBIN,NY,12025,November 5 2013,970628829,Felice Lovins,child,563643649
Regina,Emmie,Simar,459006176,May 22 1975, ,ATLANTA,GA,30339,April 20 2006,151481767,Emelda Hulsey,spouse,918605118
Olimpia,Remona,Heffern,310511040,June 24 1950,511 West Main,PHILLIPSVILLE,PA,16442,April 5 2014,388085478,Alba Barchacky,parent,289822881
Versie,Alvina,Sueltenfuss,138673104,June 21 1958,3255 Scranton Grove Road,KILMICHAEL,MS,39747,July 3 2003,953846909,Nickolas Schreckengost,friend,623014420
May,Hien,Coullard,760899346,November 7 1950,203 West Glenn,FREEBORN,MN,56032,October 19 1995,315381788,Rosanne Millerbernd,friend,429269460
