firstName,middleName,lastName,socialSecurityNumber,dob,street,city,state,zip,hireDate,phoneNumber,contactName,relation,emergencyPhoneNumber
Alvera,Sophie,Jeantet,322165934,February 17 1990,331 South 6th  Street,GILE,WI,54525,March 31 2015,891193486,Tamatha Greenberger,child,662583355
Birdie,Tashina,Basten,238490037,April 5 1967,0 1st Street,LINDON,UT,84042,November 23 2009,905793503,Phylicia Bushaw,other,631686938
Ceola,Salena,Antosh,574514348,February 15 1984,1477 Yaupon Road,SAN ANTONIO,TX,78233,September 19 1994,498327772,Dyan Vandelaare,sibling,831071723
Deandrea,Ericka,Paz,494879024,April 15 1979,11855 Zetter Road,FT WORTH,TX,76102,May 22 2009,683409418,Josh Delamater,friend,314811247
Jeanett,Christi,Toyoshima,831153344,July 8 1970,0 Fm 1457,HONORAVILLE,AL,36042,June 16 1988,492361506,Ira Mcelderry,sibling,816268443
Josephine,Marlena,Vertiz,720577108,January 29 1987, ,PILAR,NM,87571,March 8 2010,775079333,Emma Reinsch,other,868387875
Andera,Tora,Wain,865446154,August 11 1970,0 Highway 159 @ Langberg Road,UNION CROSSROADS,SC,29111,February 7 1988,581149526,Marion Crnich,parent,944688169
Pauline,Marjory,Arca,545782945,November 12 1971, ,AMHERST,OH,44001,February 22 1991,250412511,Teisha Osbourn,child,475675437
Chi,Kaitlyn,Matrone,632601501,December 29 1987,0 Front Street,VULCAN,MI,49852,May 30 2008,629537961,Thanh Gravitz,parent,504062323
Emelia,Juana,Posto,239381618,December 27 1953,5047 Bollinger Road,HOT SPRINGS,NC,28743,February 20 2000,817953713,Karl Aviles,parent,981643136
Renda,Minh,Zingler,870010962,July 5 1996,0 Klopsteck Road (Off Of),PINKSTAFF,IL,62439,September 21 1996,409615602,Celinda Halford,extended family,792202025
Magdalene,Leoma,Brinn,502651591,August 30 1981,0 King Road,JOHNS CREEK,GA,30005,October 15 1994,860052911,Elnora Hux,parent,335934693
Kristy,Erika,Huskins,614369457,July 5 1992,985 Long Bow Road,PAXTONIA,PA,17112,September 2 2011,449520658,Gaynelle Llarenas,parent,787209816
Melonie,Sierra,Faggett,525873823,September 5 1983, ,SEMMES,AL,36575,March 12 1993,698580299,Williemae Rowley,child,288461896
Royal,Linda,Kanno,292930325,May 17 1983,0 Fm 949,ASHEBORO,NC,27203,September 25 1989,272979097,Lavern Fenelus,other,235976340
Vicky,Lissa,Majercin,808772250,May 9 1994,930 Garland Street,MILL VALLEY,CA,94941,May 18 2000,618410417,Jacques Acfalle,sibling,106183006
